32208;-37.6872;-10.619;Pedra Mole;Sede Municipal;SERGIPE;5231;6026;5853;5824;5015;4215;3940;4068;4573;5358;5661;6139;6105
32209;-37.534;-10.5506;Frei Paulo;Sede Municipal;SERGIPE;5254;6097;5938;5808;4999;4199;3924;4051;4605;5361;5726;6203;6145
32211;-37.3431;-10.5791;Moita Bonita;Sede Municipal;SERGIPE;5308;6178;6019;5905;5070;4215;3952;4052;4626;5390;5778;6218;6291
32213;-37.1135;-10.6045;Siriri;Sede Municipal;SERGIPE;5288;6192;5997;5865;5048;4254;3971;4055;4608;5358;5703;6197;6209
32213;-37.1934;-10.6438;Santa Rosa de Lima;Sede Municipal;SERGIPE;5288;6192;5997;5865;5048;4254;3971;4055;4608;5358;5703;6197;6209
32215;-36.9421;-10.5854;Japaratuba;Sede Municipal;SERGIPE;5369;6240;6066;5957;5115;4333;4056;4108;4746;5449;5788;6278;6293
32215;-36.9842;-10.649;Carmópolis;Sede Municipal;SERGIPE;5369;6240;6066;5957;5115;4333;4056;4108;4746;5449;5788;6278;6293
32533;-37.4383;-10.5361;Ribeirópolis;Sede Municipal;SERGIPE;5263;6073;5935;5752;5036;4240;3958;4064;4668;5400;5687;6156;6192
32536;-37.1966;-10.4911;Nossa Senhora das Dores;Sede Municipal;SERGIPE;5273;6197;5931;5790;5067;4231;3975;4056;4602;5391;5692;6139;6201
32537;-37.0539;-10.5063;Capela;Sede Municipal;SERGIPE;5258;6163;5848;5800;5055;4275;3977;4086;4620;5380;5668;6090;6134
32541;-36.6485;-10.4555;Pacatuba;Sede Municipal;SERGIPE;5305;6140;6020;5859;4986;4235;4005;4070;4671;5361;5753;6247;6315
32855;-37.7032;-10.357;Carira;Sede Municipal;SERGIPE;5285;6104;5974;5801;5078;4280;3956;4094;4675;5442;5655;6188;6169
32858;-37.4518;-10.3975;Nossa Senhora Aparecida;Sede Municipal;SERGIPE;5274;6055;5904;5761;5078;4274;3987;4104;4703;5451;5675;6119;6173
32859;-37.3825;-10.3887;São Miguel do Aleixo;Sede Municipal;SERGIPE;5257;6017;5918;5750;5046;4244;4030;4093;4691;5397;5642;6157;6103
32861;-37.1878;-10.353;Cumbe;Sede Municipal;SERGIPE;5265;6082;5872;5767;5052;4241;3995;4090;4638;5416;5699;6165;6170
32863;-36.9565;-10.4243;Muribeca;Sede Municipal;SERGIPE;5205;6004;5761;5716;4972;4222;3965;4067;4560;5319;5610;6126;6133
32867;-36.5482;-10.4429;Ilha das Flores;Sede Municipal;SERGIPE;5418;6234;6106;6017;5075;4310;4037;4135;4758;5534;6008;6388;6412
32868;-36.4614;-10.4302;Brejo Grande;Sede Municipal;SERGIPE;5441;6151;6169;6059;5039;4366;4106;4158;4855;5535;6017;6358;6473
33188;-37.3095;-10.2637;Feira Nova;Sede Municipal;SERGIPE;5256;6006;5828;5783;5032;4240;3999;4074;4685;5418;5646;6218;6147
33191;-37.0151;-10.2785;Aquidabã;Sede Municipal;SERGIPE;5245;5953;5805;5747;5064;4202;3983;4061;4627;5374;5717;6250;6162
33192;-36.9209;-10.3446;Malhada dos Bois;Sede Municipal;SERGIPE;5207;5911;5725;5704;4977;4206;3980;4044;4615;5310;5660;6187;6162
33193;-36.8812;-10.2517;Cedro de São João;Sede Municipal;SERGIPE;5256;5989;5788;5745;4938;4218;4003;4051;4602;5421;5808;6243;6268
33193;-36.8837;-10.3453;São Francisco;Sede Municipal;SERGIPE;5256;5989;5788;5745;4938;4218;4003;4051;4602;5421;5808;6243;6268
33194;-36.7983;-10.3445;Japoatã;Sede Municipal;SERGIPE;5375;6141;6085;5943;5049;4291;4044;4110;4653;5539;5918;6364;6363
33195;-36.6122;-10.2913;Santana do São Francisco;Sede Municipal;SERGIPE;5384;6132;6061;5931;5070;4310;4059;4140;4715;5522;5944;6363;6354
33196;-36.5853;-10.3219;Neópolis;Sede Municipal;SERGIPE;5338;6097;5947;5891;5045;4298;4042;4110;4722;5442;5861;6297;6312
33517;-37.4214;-10.2162;Nossa Senhora da Glória;Sede Municipal;SERGIPE;5321;6120;5910;5753;5101;4309;4014;4200;4791;5536;5703;6244;6171
33520;-37.197;-10.23;Graccho Cardoso;Sede Municipal;SERGIPE;5265;6017;5822;5789;5052;4226;3994;4123;4649;5451;5724;6152;6177
33523;-36.8396;-10.2168;Propriá;Sede Municipal;SERGIPE;5434;6333;6118;5996;5239;4349;4101;4151;4716;5538;5903;6349;6408
33523;-36.8821;-10.2069;Telha;Sede Municipal;SERGIPE;5434;6333;6118;5996;5239;4349;4101;4151;4716;5538;5903;6349;6408
33852;-37.1059;-10.1252;Itabi;Sede Municipal;SERGIPE;5306;6059;5871;5836;5115;4267;3984;4139;4711;5509;5795;6211;6177
33853;-37.0575;-10.0788;Nossa Senhora de Lourdes;Sede Municipal;SERGIPE;5370;6199;5907;5868;5154;4336;4091;4160;4770;5570;5835;6293;6252
33854;-36.9734;-10.1382;Canhoba;Sede Municipal;SERGIPE;5399;6221;6007;5932;5205;4363;4123;4185;4773;5552;5852;6291;6284
33854;-36.9284;-10.1349;Amparo de São Francisco;Sede Municipal;SERGIPE;5399;6221;6007;5932;5205;4363;4123;4185;4773;5552;5852;6291;6284
34193;-37.5619;-10.026;Monte Alegre de Sergipe;Sede Municipal;SERGIPE;5299;6026;5899;5862;5126;4283;3971;4131;4701;5468;5697;6223;6200
34198;-37.0869;-9.9701;Gararu;Sede Municipal;SERGIPE;5463;6289;6051;5999;5276;4383;4141;4214;4867;5694;5930;6379;6328
34546;-37.2845;-9.9167;Porto da Folha;Sede Municipal;SERGIPE;5424;6271;6043;5901;5202;4328;4078;4200;4783;5631;5887;6439;6322
34905;-37.6836;-9.8066;Poço Redondo;Sede Municipal;SERGIPE;5343;6148;5947;5916;5167;4339;3969;4082;4629;5465;5801;6345;6311
35267;-37.7891;-9.6606;Canindé de São Francisco;Sede Municipal;SERGIPE;5432;6323;6069;5960;5280;4374;4000;4105;4794;5540;5905;6427;6402
